Total: 865 schools missing logo files
Out of 831 unique schools
Academy of Art|Academy_of_Art.svg
Regis (CO)|Regis_CO.svg
Reinhardt|Reinhardt.svg
Rensselaer|Rensselaer.svg
Rensselaer|Rensselaer.svg
Rhema Bible Training Center|Rhema_Bible_Training_Center.svg
Rhode Island|Rhode_Island.svg
Rhodes|Rhodes.svg
Rio Grande|Rio_Grande.svg
Ripon|Ripon.svg
Ripon|Ripon.svg
Rivier|Rivier.svg
Roanoke|Roanoke.svg
Roanoke|Roanoke.svg
Robert Morris|Robert_Morris.svg
Robert Morris-Springfield (IL)|Robert_Morris_Springfield_IL.svg
Roberts Wesleyan|Roberts_Wesleyan.svg
Rochester (NY)|Rochester_NY.svg
Rochester University (MI)|Rochester_University_MI.svg
Rockford|Rockford.svg
Rockhurst|Rockhurst.svg
Rocky Mountain|Rocky_Mountain.svg
Rogers State|Rogers_State.svg
Rollins|Rollins.svg
Roosevelt|Roosevelt.svg
Rose-Hulman|Rose_Hulman.svg
Rosemont|Rosemont.svg
Rust|Rust.svg
Rutgers-Camden|Rutgers_Camden.svg
Rutgers-Newark|Rutgers_Newark.svg
Ryerson|Ryerson.svg
SUNY Cobleskill|SUNY_Cobleskill.svg
SUNY Delhi|SUNY_Delhi.svg
SUNY Morrisville|SUNY_Morrisville.svg
SUNY Poly|SUNY_Poly.svg
SUNY-Brockport|SUNY_Brockport.svg
SUNY-Canton|SUNY_Canton.svg
SUNY-Maritime|SUNY_Maritime.svg
SUNY-New Paltz|SUNY_New_Paltz.svg
SUNY-Oneonta|SUNY_Oneonta.svg
SUNY-Potsdam|SUNY_Potsdam.svg
SUNY-Potsdam|SUNY_Potsdam.svg
Saint Elizabeth|Saint_Elizabeth.svg
Saint John's (MN)|Saint_Johns_MN.svg
Saint Joseph's Long Island|Saint_Josephs_Long_Island.svg
Saint Leo|Saint_Leo.svg
Saint Martin's|Saint_Martins.svg
Saint Mary of the Woods College|Saint_Mary_of_the_Woods_College.svg
Saint Mary's (MN)|Saint_Marys_MN.svg
Saint Michael's|Saint_Michaels.svg
Saint Rose|Saint_Rose.svg
Saint Vincent|Saint_Vincent.svg
Salem University|Salem_University.svg
Salisbury|Salisbury.svg
Salish Kootenai|Salish_Kootenai.svg
Salve Regina|Salve_Regina.svg
San Diego Christian|San_Diego_Christian.svg
Sarah Lawrence|Sarah_Lawrence.svg
Savage School of Physical Education|Savage_School_of_Physical_Education.svg
Savannah College Of Art And Design|Savannah_College_Of_Art_And_Design.svg
Schreiner|Schreiner.svg
Science & Arts (OK)|Science_Arts_OK.svg
Scranton|Scranton.svg
Seattle Pacific|Seattle_Pacific.svg
Selma|Selma.svg
Seton Hill|Seton_Hill.svg
Sewanee|Sewanee.svg
Sewanee|Sewanee.svg
Shawnee State|Shawnee_State.svg
Siena Heights|Siena_Heights.svg
Silver Lake|Silver_Lake.svg
Simpson College (IA)|Simpson_College_IA.svg
Simpson University (CA)|Simpson_University_CA.svg
Skidmore|Skidmore.svg
Sonoma State|Sonoma_State.svg
South Carolina Upstate|South_Carolina_Upstate.svg
South Dakota|South_Dakota.svg
South Vermont|South_Vermont.svg
Southeastern|Southeastern.svg
Southeastern College|Southeastern_College.svg
Southeastern Oklahoma State|Southeastern_Oklahoma_State.svg
Southern Indiana|Southern_Indiana.svg
Southern Polytechnic|Southern_Polytechnic.svg
Southern Wesleyan|Southern_Wesleyan.svg
Southern-New Orleans|Southern_New_Orleans.svg
Southwestern (TX)|Southwestern_TX.svg
Southwestern Assemblies of God|Southwestern_Assemblies_of_God.svg
Southwestern Christian|Southwestern_Christian.svg
Southwestern College|Southwestern_College.svg
Southwestern College Arizona|Southwestern_College_Arizona.svg
Southwestern Oklahoma State|Southwestern_Oklahoma_State.svg
Spalding|Spalding.svg
Spartanburg Methodist|Spartanburg_Methodist.svg
Spring Arbor|Spring_Arbor.svg
Spring Hill|Spring_Hill.svg
Spurgeon College|Spurgeon_College.svg
St Gregory's|St_Gregorys.svg
St. Andrews|St_Andrews.svg
St. Catharine (KY)|St_Catharine_KY.svg
St. Catherine (MN)|St_Catherine_MN.svg
St. Edward's|St_Edwards.svg
St. Francis (IL)|St_Francis_IL.svg
St. Francis (IN)|St_Francis_IN.svg
St. Francis Brooklyn|St_Francis_Brooklyn.svg
St. John's College (OH)|St_Johns_College_OH.svg
